ポケモン名,フォルム名,経路,レベル,技名
フシギバナ,通常,タマゴ,,はなびらのまい
フシギバナ,通常,わざマシン,,じしん
フシギバナ,通常,タマゴ,,どくどく
フシギバナ,通常,わざマシン,,どくどく
フシギバナ,通常,わざマシン,,ドわすれ
フシギバナ,通常,わざマシン,,ねむる
フシギバナ,通常,わざマシン,,みがわり
フシギバナ,通常,タマゴ,,のろい
フシギバナ,通常,わざマシン,,のろい
フシギバナ,通常,わざマシン,,まもる
フシギバナ,通常,わざマシン,,こわいかお
フシギバナ,通常,わざマシン,,ヘドロばくだん
フシギバナ,通常,わざマシン,,ギガドレイン
フシギバナ,通常,わざマシン,,こらえる
フシギバナ,通常,わざマシン,,あまえる
フシギバナ,通常,わざマシン,,みねうち
フシギバナ,通常,わざマシン,,ねごと
フシギバナ,通常,レベルアップ,30,あまいかおり
フシギバナ,通常,レベルアップ,37,こうごうせい
フシギバナ,通常,わざマシン,,にほんばれ
フシギバナ,通常,わざマシン,,からげんき
フシギバナ,通常,わざマシン,,てだすけ
フシギバナ,通常,タマゴ,,ねをはる
フシギバナ,通常,わざマシン,,はたきおとす
フシギバナ,通常,わざマシン,,ウェザーボール
フシギバナ,通常,わざマシン,,タネマシンガン
フシギバナ,通常,わざマシン,,ハードプラント
フシギバナ,通常,わざマシン,,マジカルリーフ
フシギバナ,通常,レベルアップ,44,なやみのタネ
フシギバナ,通常,わざマシン,,どくづき
フシギバナ,通常,レベルアップ,20,タネばくだん
フシギバナ,通常,わざマシン,,タネばくだん
フシギバナ,通常,わざマシン,,エナジーボール
フシギバナ,通常,わざマシン,,だいちのちから
フシギバナ,通常,わざマシン,,ギガインパクト
フシギバナ,通常,わざマシン,,リーフストーム
フシギバナ,通常,レベルアップ,51,パワーウィップ
フシギバナ,通常,わざマシン,,くさむすび
フシギバナ,通常,わざマシン,,ベノムショック
フシギバナ,通常,わざマシン,,アシッドボム
フシギバナ,通常,わざマシン,,くさのちかい
フシギバナ,通常,わざマシン,,じならし
フシギバナ,通常,レベルアップ,0,はなふぶき
フシギバナ,通常,わざマシン,,はなふぶき
フシギバナ,通常,わざマシン,,グラスフィールド
フシギバナ,通常,わざマシン,,じだんだ
フシギバナ,通常,わざマシン,,グラススライダー
フシギバナ,通常,わざマシン,,テラバースト
フシギバナ,通常,わざマシン,,くさわけ
ヒトカゲ,通常,わざマシン,,ほのおのパンチ
ヒトカゲ,通常,わざマシン,,かみなりパンチ
ヒトカゲ,通常,レベルアップ,1,ひっかく
ヒトカゲ,通常,わざマシン,,つるぎのまい
ヒトカゲ,通常,わざマシン,,のしかかり
ヒトカゲ,通常,わざマシン,,とっしん
ヒトカゲ,通常,タマゴ,,かみつく
ヒトカゲ,通常,レベルアップ,1,なきごえ
ヒトカゲ,通常,わざマシン,,ほえる
ヒトカゲ,通常,レベルアップ,4,ひのこ
ヒトカゲ,通常,レベルアップ,24,かえんほうしゃ
ヒトカゲ,通常,わざマシン,,かえんほうしゃ
ヒトカゲ,通常,タマゴ,,カウンター
ヒトカゲ,通常,レベルアップ,32,ほのおのうず
ヒトカゲ,通常,わざマシン,,ほのおのうず
ヒトカゲ,通常,わざマシン,,あなをほる
ヒトカゲ,通常,レベルアップ,8,えんまく
ヒトカゲ,通常,わざマシン,,だいもんじ
ヒトカゲ,通常,わざマシン,,スピードスター
ヒトカゲ,通常,わざマシン,,ねむる
ヒトカゲ,通常,わざマシン,,いわなだれ
ヒトカゲ,通常,レベルアップ,20,きりさく
ヒトカゲ,通常,わざマシン,,みがわり
ヒトカゲ,通常,わざマシン,,まもる
ヒトカゲ,通常,レベルアップ,28,こわいかお
ヒトカゲ,通常,わざマシン,,こわいかお
ヒトカゲ,通常,タマゴ,,はらだいこ
ヒトカゲ,通常,わざマシン,,げきりん
ヒトカゲ,通常,わざマシン,,こらえる
ヒトカゲ,通常,わざマシン,,みねうち
ヒトカゲ,通常,わざマシン,,ねごと
ヒトカゲ,通常,レベルアップ,12,りゅうのいぶき
ヒトカゲ,通常,タマゴ,,アイアンテール
ヒトカゲ,通常,タマゴ,,メタルクロー
ヒトカゲ,通常,わざマシン,,メタルクロー
ヒトカゲ,通常,わざマシン,,にほんばれ
ヒトカゲ,通常,わざマシン,,かみくだく
ヒトカゲ,通常,タマゴ,,げんしのちから
ヒトカゲ,通常,わざマシン,,ねっぷう
ヒトカゲ,通常,わざマシン,,おにび
ヒトカゲ,通常,わざマシン,,からげんき
ヒトカゲ,通常,わざマシン,,きあいパンチ
ヒトカゲ,通常,わざマシン,,てだすけ
ヒトカゲ,通常,わざマシン,,かわらわり
ヒトカゲ,通常,わざマシン,,ウェザーボール
ヒトカゲ,通常,わざマシン,,オーバーヒート
ヒトカゲ,通常,わざマシン,,がんせきふうじ
ヒトカゲ,通常,わざマシン,,ドラゴンクロー
ヒトカゲ,通常,わざマシン,,りゅうのまい
ヒトカゲ,通常,わざマシン,,なげつける
ヒトカゲ,通常,レベルアップ,40,フレアドライブ
ヒトカゲ,通常,わざマシン,,フレアドライブ
ヒトカゲ,通常,わざマシン,,りゅうのはどう
ヒトカゲ,通常,タマゴ,,ドラゴンダイブ
ヒトカゲ,通常,わざマシン,,きあいだま
ヒトカゲ,通常,わざマシン,,シャドークロー
ヒトカゲ,通常,レベルアップ,17,ほのおのキバ
ヒトカゲ,通常,わざマシン,,ほのおのキバ
ヒトカゲ,通常,わざマシン,,ニトロチャージ
ヒトカゲ,通常,レベルアップ,36,れんごく
ヒトカゲ,通常,わざマシン,,ほのおのちかい
ヒトカゲ,通常,タマゴ,,ドラゴンテール
ヒトカゲ,通常,わざマシン,,ドラゴンテール
ヒトカゲ,通常,わざマシン,,ワイドブレイカー
ヒトカゲ,通常,わざマシン,,テラバースト
ヒトカゲ,通常,わざマシン,,やけっぱち
リザード,通常,わざマシン,,ほのおのパンチ
リザード,通常,わざマシン,,かみなりパンチ
リザード,通常,レベルアップ,1,ひっかく
リザード,通常,わざマシン,,つるぎのまい
リザード,通常,わざマシン,,のしかかり
リザード,通常,わざマシン,,とっしん
リザード,通常,タマゴ,,かみつく
リザード,通常,レベルアップ,1,なきごえ
リザード,通常,わざマシン,,ほえる
リザード,通常,レベルアップ,1,ひのこ
リザード,通常,レベルアップ,30,かえんほうしゃ
リザード,通常,わざマシン,,かえんほうしゃ
リザード,通常,タマゴ,,カウンター
リザード,通常,わざマシン,,ほのおのうず
リザード,通常,わざマシン,,あなをほる
リザード,通常,レベルアップ,1,えんまく
リザード,通常,わざマシン,,だいもんじ
リザード,通常,わざマシン,,スピードスター
リザード,通常,わざマシン,,ねむる
リザード,通常,わざマシン,,いわなだれ
リザード,通常,レベルアップ,24,きりさく
リザード,通常,わざマシン,,みがわり
リザード,通常,わざマシン,,まもる
リザード,通常,レベルアップ,37,こわいかお
リザード,通常,わざマシン,,こわいかお
リザード,通常,タマゴ,,はらだいこ
リザード,通常,わざマシン,,げきりん
リザード,通常,わざマシン,,こらえる
リザード,通常,わざマシン,,みねうち
リザード,通常,わざマシン,,ねごと
リザード,通常,レベルアップ,12,りゅうのいぶき
リザード,通常,タマゴ,,アイアンテール
リザード,通常,タマゴ,,メタルクロー
リザード,通常,わざマシン,,にほんばれ
リザード,通常,わざマシン,,かみくだく
リザード,通常,タマゴ,,げんしのちから
リザード,通常,わざマシン,,ねっぷう
リザード,通常,わざマシン,,おにび
リザード,通常,わざマシン,,からげんき
リザード,通常,わざマシン,,きあいパンチ
リザード,通常,わざマシン,,てだすけ
リザード,通常,わざマシン,,かわらわり
リザード,通常,わざマシン,,ウェザーボール
リザード,通常,わざマシン,,オーバーヒート
リザード,通常,わざマシン,,がんせきふうじ
リザード,通常,わざマシン,,ドラゴンクロー
リザード,通常,わざマシン,,りゅうのまい
リザード,通常,わざマシン,,なげつける
リザード,通常,レベルアップ,54,フレアドライブ
リザード,通常,わざマシン,,フレアドライブ
リザード,通常,わざマシン,,りゅうのはどう
リザード,通常,タマゴ,,ドラゴンダイブ
リザード,通常,わざマシン,,きあいだま
リザード,通常,わざマシン,,シャドークロー
リザード,通常,レベルアップ,19,ほのおのキバ
リザード,通常,わざマシン,,ほのおのキバ
リザード,通常,わざマシン,,ニトロチャージ
リザード,通常,レベルアップ,48,れんごく
リザード,通常,わざマシン,,ほのおのちかい
リザード,通常,タマゴ,,ドラゴンテール
リザード,通常,わざマシン,,ドラゴンテール
リザード,通常,わざマシン,,ワイドブレイカー
リザード,通常,わざマシン,,テラバースト
リザード,通常,わざマシン,,やけっぱち
リザードン,通常,わざマシン,,ほのおのパンチ
リザードン,通常,わざマシン,,かみなりパンチ
リザードン,通常,レベルアップ,1,ひっかく
リザードン,通常,わざマシン,,つるぎのまい
リザードン,通常,わざマシン,,そらをとぶ
リザードン,通常,わざマシン,,のしかかり
リザードン,通常,わざマシン,,とっしん
リザードン,通常,わざマシン,,すてみタックル
リザードン,通常,タマゴ,,かみつく
リザードン,通常,レベルアップ,1,なきごえ
リザードン,通常,わざマシン,,ほえる
リザードン,通常,レベルアップ,1,ひのこ
リザードン,通常,レベルアップ,30,かえんほうしゃ
リザードン,通常,わざマシン,,かえんほうしゃ
リザードン,通常,わざマシン,,はかいこうせん
リザードン,通常,タマゴ,,カウンター
リザードン,通常,わざマシン,,ソーラービーム
リザードン,通常,レベルアップ,46,ほのおのうず
リザードン,通常,わざマシン,,ほのおのうず
リザードン,通常,わざマシン,,じしん
リザードン,通常,わざマシン,,あなをほる
リザードン,通常,レベルアップ,1,えんまく
リザードン,通常,わざマシン,,だいもんじ
リザードン,通常,わざマシン,,スピードスター
リザードン,通常,わざマシン,,ねむる
リザードン,通常,わざマシン,,いわなだれ
リザードン,通常,レベルアップ,24,きりさく
リザードン,通常,わざマシン,,みがわり
リザードン,通常,わざマシン,,まもる
リザードン,通常,レベルアップ,39,こわいかお
リザードン,通常,わざマシン,,こわいかお
リザードン,通常,タマゴ,,はらだいこ
リザードン,通常,わざマシン,,げきりん
リザードン,通常,わざマシン,,すなあらし
リザードン,通常,わざマシン,,こらえる
リザードン,通常,わざマシン,,ねごと
リザードン,通常,レベルアップ,12,りゅうのいぶき
リザードン,通常,タマゴ,,アイアンテール
リザードン,通常,タマゴ,,メタルクロー
リザードン,通常,わざマシン,,にほんばれ
リザードン,通常,わざマシン,,かみくだく
リザードン,通常,タマゴ,,げんしのちから
リザードン,通常,レベルアップ,1,ねっぷう
リザードン,通常,わざマシン,,ねっぷう
リザードン,通常,わざマシン,,おにび
リザードン,通常,わざマシン,,からげんき
リザードン,通常,わざマシン,,きあいパンチ
リザードン,通常,わざマシン,,てだすけ
リザードン,通常,わざマシン,,かわらわり
リザードン,通常,わざマシン,,ブラストバーン
リザードン,通常,わざマシン,,ウェザーボール
リザードン,通常,わざマシン,,エアカッター
リザードン,通常,わざマシン,,オーバーヒート
リザードン,通常,わざマシン,,がんせきふうじ
リザードン,通常,わざマシン,,つばめがえし
リザードン,通常,レベルアップ,1,ドラゴンクロー
リザードン,通常,わざマシン,,ドラゴンクロー
リザードン,通常,わざマシン,,りゅうのまい
リザードン,通常,わざマシン,,なげつける
リザードン,通常,レベルアップ,62,フレアドライブ
リザードン,通常,わざマシン,,フレアドライブ
リザードン,通常,レベルアップ,0,エアスラッシュ
リザードン,通常,わざマシン,,エアスラッシュ
リザードン,通常,わざマシン,,りゅうのはどう
リザードン,通常,タマゴ,,ドラゴンダイブ
リザードン,通常,わざマシン,,きあいだま
リザードン,通常,わざマシン,,ギガインパクト
リザードン,通常,わざマシン,,シャドークロー
リザードン,通常,レベルアップ,19,ほのおのキバ
リザードン,通常,わざマシン,,ほのおのキバ
リザードン,通常,わざマシン,,ニトロチャージ
リザードン,通常,わざマシン,,アクロバット
リザードン,通常,レベルアップ,54,れんごく
リザードン,通常,わざマシン,,ほのおのちかい
リザードン,通常,わざマシン,,じならし
リザードン,通常,タマゴ,,ドラゴンテール
リザードン,通常,わざマシン,,ドラゴンテール
リザードン,通常,わざマシン,,ヒートスタンプ
リザードン,通常,わざマシン,,ぼうふう
リザードン,通常,わざマシン,,ワイドブレイカー
リザードン,通常,わざマシン,,ねっさのだいち
リザードン,通常,わざマシン,,テラバースト
リザードン,通常,わざマシン,,ドラゴンエール
リザードン,通常,わざマシン,,やけっぱち
ゼニガメ,通常,わざマシン,,れいとうパンチ
ゼニガメ,通常,レベルアップ,1,たいあたり
ゼニガメ,通常,わざマシン,,のしかかり
ゼニガメ,通常,わざマシン,,とっしん
ゼニガメ,通常,わざマシン,,すてみタックル
ゼニガメ,通常,レベルアップ,1,しっぽをふる
ゼニガメ,通常,レベルアップ,12,かみつく
ゼニガメ,通常,タマゴ,,しろいきり
ゼニガメ,通常,レベルアップ,3,みずでっぽう
ゼニガメ,通常,レベルアップ,33,ハイドロポンプ
ゼニガメ,通常,わざマシン,,ハイドロポンプ
ゼニガメ,通常,わざマシン,,なみのり
ゼニガメ,通常,わざマシン,,れいとうビーム
ゼニガメ,通常,わざマシン,,ふぶき
ゼニガメ,通常,わざマシン,,あなをほる
ゼニガメ,通常,レベルアップ,6,からにこもる
ゼニガメ,通常,わざマシン,,くろいきり
ゼニガメ,通常,わざマシン,,ねむる
ゼニガメ,通常,わざマシン,,みがわり
ゼニガメ,通常,タマゴ,,じたばた
ゼニガメ,通常,レベルアップ,18,まもる
ゼニガメ,通常,わざマシン,,まもる
ゼニガメ,通常,わざマシン,,こごえるかぜ
ゼニガメ,通常,わざマシン,,こらえる
ゼニガメ,通常,わざマシン,,ねごと
ゼニガメ,通常,レベルアップ,9,こうそくスピン
ゼニガメ,通常,レベルアップ,21,あまごい
ゼニガメ,通常,わざマシン,,あまごい
ゼニガメ,通常,タマゴ,,ミラーコート
ゼニガメ,通常,わざマシン,,うずしお
ゼニガメ,通常,タマゴ,,ねこだまし
ゼニガメ,通常,わざマシン,,からげんき
ゼニガメ,通常,わざマシン,,きあいパンチ
ゼニガメ,通常,わざマシン,,てだすけ
ゼニガメ,通常,わざマシン,,かわらわり
ゼニガメ,通常,タマゴ,,あくび
ゼニガメ,通常,わざマシン,,ウェザーボール
ゼニガメ,通常,タマゴ,,しおふき
ゼニガメ,通常,わざマシン,,だくりゅう
ゼニガメ,通常,レベルアップ,30,てっぺき
ゼニガメ,通常,わざマシン,,てっぺき
ゼニガメ,通常,わざマシン,,マッドショット
ゼニガメ,通常,レベルアップ,15,みずのはどう
ゼニガメ,通常,わざマシン,,みずのはどう
ゼニガメ,通常,わざマシン,,ジャイロボール
ゼニガメ,通常,わざマシン,,なげつける
ゼニガメ,通常,タマゴ,,アクアリング
ゼニガメ,通常,レベルアップ,24,アクアテール
ゼニガメ,通常,わざマシン,,しねんのずつき
ゼニガメ,通常,タマゴ,,アクアジェット
ゼニガメ,通常,レベルアップ,27,からをやぶる
ゼニガメ,通常,わざマシン,,みずのちかい
ゼニガメ,通常,わざマシン,,アクアブレイク
ゼニガメ,通常,タマゴ,,いのちのしずく
ゼニガメ,通常,わざマシン,,クイックターン
ゼニガメ,通常,レベルアップ,36,ウェーブタックル
ゼニガメ,通常,わざマシン,,テラバースト
ゼニガメ,通常,わざマシン,,アイススピナー
ゼニガメ,通常,わざマシン,,ひやみず
カメール,通常,わざマシン,,れいとうパンチ
カメール,通常,レベルアップ,1,たいあたり
カメール,通常,わざマシン,,のしかかり
カメール,通常,わざマシン,,とっしん
カメール,通常,わざマシン,,すてみタックル
カメール,通常,レベルアップ,1,しっぽをふる
カメール,通常,レベルアップ,12,かみつく
カメール,通常,タマゴ,,しろいきり
カメール,通常,レベルアップ,1,みずでっぽう
カメール,通常,レベルアップ,45,ハイドロポンプ
カメール,通常,わざマシン,,ハイドロポンプ
カメール,通常,わざマシン,,なみのり
カメール,通常,わざマシン,,れいとうビーム
カメール,通常,わざマシン,,ふぶき
カメール,通常,わざマシン,,あなをほる
カメール,通常,レベルアップ,1,からにこもる
カメール,通常,わざマシン,,くろいきり
カメール,通常,わざマシン,,ねむる
カメール,通常,わざマシン,,みがわり
カメール,通常,タマゴ,,じたばた
カメール,通常,レベルアップ,20,まもる
カメール,通常,わざマシン,,まもる
カメール,通常,わざマシン,,こごえるかぜ
カメール,通常,わざマシン,,こらえる
カメール,通常,わざマシン,,ねごと
カメール,通常,レベルアップ,9,こうそくスピン
カメール,通常,レベルアップ,25,あまごい
カメール,通常,わざマシン,,あまごい
カメール,通常,タマゴ,,ミラーコート
カメール,通常,わざマシン,,うずしお
カメール,通常,タマゴ,,ねこだまし
カメール,通常,わざマシン,,からげんき
カメール,通常,わざマシン,,きあいパンチ
カメール,通常,わざマシン,,てだすけ
カメール,通常,わざマシン,,かわらわり
カメール,通常,タマゴ,,あくび
カメール,通常,わざマシン,,ウェザーボール
カメール,通常,タマゴ,,しおふき
カメール,通常,わざマシン,,だくりゅう
カメール,通常,レベルアップ,40,てっぺき
カメール,通常,わざマシン,,てっぺき
カメール,通常,わざマシン,,マッドショット
カメール,通常,レベルアップ,15,みずのはどう
カメール,通常,わざマシン,,みずのはどう
カメール,通常,わざマシン,,ジャイロボール
カメール,通常,わざマシン,,なげつける
カメール,通常,タマゴ,,アクアリング
カメール,通常,レベルアップ,30,アクアテール
カメール,通常,わざマシン,,しねんのずつき
カメール,通常,タマゴ,,アクアジェット
カメール,通常,レベルアップ,35,からをやぶる
カメール,通常,わざマシン,,みずのちかい
カメール,通常,わざマシン,,アクアブレイク
カメール,通常,タマゴ,,いのちのしずく
カメール,通常,わざマシン,,クイックターン
カメール,通常,レベルアップ,50,ウェーブタックル
カメール,通常,わざマシン,,テラバースト
カメール,通常,わざマシン,,アイススピナー
カメール,通常,わざマシン,,ひやみず
カメックス,通常,わざマシン,,れいとうパンチ
カメックス,通常,レベルアップ,1,たいあたり
カメックス,通常,わざマシン,,のしかかり
カメックス,通常,わざマシン,,とっしん
カメックス,通常,わざマシン,,すてみタックル
カメックス,通常,レベルアップ,1,しっぽをふる
カメックス,通常,レベルアップ,12,かみつく
カメックス,通常,わざマシン,,ほえる
カメックス,通常,タマゴ,,しろいきり
カメックス,通常,レベルアップ,1,みずでっぽう
カメックス,通常,レベルアップ,49,ハイドロポンプ
カメックス,通常,わざマシン,,ハイドロポンプ
カメックス,通常,わざマシン,,なみのり
カメックス,通常,わざマシン,,れいとうビーム
カメックス,通常,わざマシン,,ふぶき
カメックス,通常,わざマシン,,はかいこうせん
カメックス,通常,わざマシン,,じしん
カメックス,通常,わざマシン,,あなをほる
カメックス,通常,レベルアップ,1,からにこもる
カメックス,通常,わざマシン,,くろいきり
カメックス,通常,わざマシン,,ねむる
カメックス,通常,わざマシン,,いわなだれ
カメックス,通常,わざマシン,,みがわり
カメックス,通常,タマゴ,,じたばた
カメックス,通常,レベルアップ,20,まもる
カメックス,通常,わざマシン,,まもる
カメックス,通常,わざマシン,,こわいかお
カメックス,通常,わざマシン,,こごえるかぜ
カメックス,通常,わざマシン,,こらえる
カメックス,通常,わざマシン,,ねごと
カメックス,通常,レベルアップ,9,こうそくスピン
カメックス,通常,レベルアップ,25,あまごい
カメックス,通常,わざマシン,,あまごい
カメックス,通常,わざマシン,,かみくだく
カメックス,通常,タマゴ,,ミラーコート
カメックス,通常,わざマシン,,うずしお
カメックス,通常,タマゴ,,ねこだまし
カメックス,通常,わざマシン,,からげんき
カメックス,通常,わざマシン,,きあいパンチ
カメックス,通常,わざマシン,,てだすけ
カメックス,通常,わざマシン,,かわらわり
カメックス,通常,タマゴ,,あくび
カメックス,通常,わざマシン,,ハイドロカノン
カメックス,通常,わざマシン,,ウェザーボール
カメックス,通常,わざマシン,,がんせきふうじ
カメックス,通常,タマゴ,,しおふき
カメックス,通常,わざマシン,,だくりゅう
カメックス,通常,レベルアップ,42,てっぺき
カメックス,通常,わざマシン,,てっぺき
カメックス,通常,わざマシン,,マッドショット
カメックス,通常,レベルアップ,15,みずのはどう
カメックス,通常,わざマシン,,みずのはどう
カメックス,通常,わざマシン,,ジャイロボール
カメックス,通常,わざマシン,,なげつける
カメックス,通常,タマゴ,,アクアリング
カメックス,通常,わざマシン,,はどうだん
カメックス,通常,わざマシン,,あくのはどう
カメックス,通常,レベルアップ,30,アクアテール
カメックス,通常,わざマシン,,りゅうのはどう
カメックス,通常,わざマシン,,きあいだま
カメックス,通常,わざマシン,,ギガインパクト
カメックス,通常,わざマシン,,ゆきなだれ
カメックス,通常,わざマシン,,しねんのずつき
カメックス,通常,レベルアップ,0,ラスターカノン
カメックス,通常,わざマシン,,ラスターカノン
カメックス,通常,タマゴ,,アクアジェット
カメックス,通常,わざマシン,,うちおとす
カメックス,通常,レベルアップ,35,からをやぶる
カメックス,通常,わざマシン,,みずのちかい
カメックス,通常,わざマシン,,アクアブレイク
カメックス,通常,わざマシン,,ボディプレス
カメックス,通常,タマゴ,,いのちのしずく
カメックス,通常,わざマシン,,クイックターン
カメックス,通常,レベルアップ,56,ウェーブタックル
カメックス,通常,わざマシン,,テラバースト
カメックス,通常,わざマシン,,アイススピナー
カメックス,通常,わざマシン,,ひやみず
キャタピー,通常,レベルアップ,1,たいあたり
キャタピー,通常,レベルアップ,1,いとをはく
トランセル,通常,レベルアップ,1,かたくなる
トランセル,通常,レベルアップ,7,かたくなる
バタフリー,通常,レベルアップ,10,ねんりき
バタフリー,通常,レベルアップ,13,どくのこな
バタフリー,通常,レベルアップ,14,しびれごな
バタフリー,通常,レベルアップ,15,ねむりごな
バタフリー,通常,レベルアップ,16,しびれごな
バタフリー,通常,レベルアップ,17,ねむりごな
バタフリー,通常,レベルアップ,18,ちょうおんぱ
バタフリー,通常,レベルアップ,23,ふきとばし
バタフリー,通常,レベルアップ,28,かぜおこし
ビードル,通常,レベルアップ,1,どくばり
ビードル,通常,レベルアップ,1,いとをはく
